District,School,Grade,Year,Value
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,C,2012-2013,3
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2013-2014,5
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,C,2014-2015,3
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2015-2016,5
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,B,2016-2017,4
ABQ SCHOOL OF EXCELLENCE,ABQ SCHOOL OF EXCELLENCE,A,2017-2018,5
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2012-2013,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2013-2014,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,B,2014-2015,4
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,NA,2015-2016,NA
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,D,2016-2017,2
ABQ SIGN LANGUAGE ACADEMY,ABQ SIGN LANGUAGE ACADEMY,B,2017-2018,4
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,C,2012-2013,3
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,D,2013-2014,2
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2014-2015,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2015-2016,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2016-2017,1
ACADEMY OF TRADES AND TECH,ACADEMY OF TRADES AND TECH,F,2017-2018,1
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,B,2012-2013,4
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,D,2013-2014,2
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,F,2014-2015,1
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,F,2015-2016,1
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,F,2016-2017,1
ACE LEADERSHIP HIGH SCHOOL,ACE LEADERSHIP HIGH SCHOOL,F,2017-2018,1
ALAMOGORDO,ACADEMY DEL SOL ALT.,D,2016-2017,2
ALAMOGORDO,ALAMOGORDO HIGH,C,2016-2017,3
ALAMOGORDO,BUENA VISTA ELEMENTARY,D,2016-2017,2
ALAMOGORDO,CHAPARRAL MIDDLE,B,2016-2017,4
ALAMOGORDO,DESERT STAR ELEMENTARY,C,2016-2017,3
ALAMOGORDO,HEIGHTS ELEMENTARY,B,2016-2017,4
ALAMOGORDO,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,A,2016-2017,5
ALAMOGORDO,HOLLOMAN ELEMENTARY,A,2016-2017,5
ALAMOGORDO,HOLLOMAN MIDDLE,A,2016-2017,5
ALAMOGORDO,LA LUZ ELEMENTARY,C,2016-2017,3
ALAMOGORDO,MOUNTAIN VIEW MIDDLE,B,2016-2017,4
ALAMOGORDO,NORTH ELEMENTARY,C,2016-2017,3
ALAMOGORDO,OREGON ELEMENTARY,C,2016-2017,3
ALAMOGORDO,SIERRA ELEMENTARY,B,2016-2017,4
ALAMOGORDO,YUCCA ELEMENTARY,B,2016-2017,4
ALAMOGORDO,ACADEMY DEL SOL ALT.,D,2017-2018,2
ALAMOGORDO,ALAMOGORDO HIGH,F,2017-2018,1
ALAMOGORDO,BUENA VISTA ELEMENTARY,D,2017-2018,2
ALAMOGORDO,CHAPARRAL MIDDLE,C,2017-2018,3
ALAMOGORDO,DESERT STAR ELEMENTARY,C,2017-2018,3
ALAMOGORDO,HEIGHTS ELEMENTARY,C,2017-2018,3
ALAMOGORDO,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,A,2017-2018,5
ALAMOGORDO,HOLLOMAN ELEMENTARY,A,2017-2018,5
ALAMOGORDO,HOLLOMAN MIDDLE,B,2017-2018,4
ALAMOGORDO,LA LUZ ELEMENTARY,D,2017-2018,2
ALAMOGORDO,MOUNTAIN VIEW MIDDLE,C,2017-2018,3
ALAMOGORDO,NORTH ELEMENTARY,C,2017-2018,3
ALAMOGORDO,OREGON ELEMENTARY,F,2017-2018,1
ALAMOGORDO,SIERRA ELEMENTARY,C,2017-2018,3
ALAMOGORDO,YUCCA ELEMENTARY,B,2017-2018,4
ALAMOGORDO ,ACADEMY DEL SOL ALT.,B,2012-2013,4
ALAMOGORDO ,ALAMOGORDO HIGH,A,2012-2013,5
ALAMOGORDO ,BUENA VISTA ELEMENTARY,B,2012-2013,4
ALAMOGORDO ,CHAPARRAL MIDDLE,B,2012-2013,4
ALAMOGORDO ,HEIGHTS ELEMENTARY,D,2012-2013,2
ALAMOGORDO ,HIGH ROLLS MTN ELEMENTARY,B,2012-2013,4
ALAMOGORDO ,HOLLOMAN ELEMENTARY,B,2012-2013,4
ALAMOGORDO ,HOLLOMAN MIDDLE,A,2012-2013,5
ALAMOGORDO ,LA LUZ ELEMENTARY,D,2012-2013,2
ALAMOGORDO ,MOUNTAIN VIEW MIDDLE,B,2012-2013,4
ALAMOGORDO ,NORTH ELEMENTARY,D,2012-2013,2
ALAMOGORDO ,OREGON ELEMENTARY,D,2012-2013,2
ALAMOGORDO ,SACRAMENTO ELEMENTARY,F,2012-2013,1
ALAMOGORDO ,SIERRA ELEMENTARY,C,2012-2013,3
ALAMOGORDO ,YUCCA ELEMENTARY,C,2012-2013,3
ALAMOGORDO ,ACADEMY DEL SOL ALT.,B,2013-2014,4
ALAMOGORDO ,ALAMOGORDO HIGH,A,2013-2014,5
ALAMOGORDO ,BUENA VISTA ELEMENTARY,B,2013-2014,4
ALAMOGORDO ,CHAPARRAL MIDDLE,B,2013-2014,4
ALAMOGORDO ,HEIGHTS ELEMENTARY,B,2013-2014,4
ALAMOGORDO ,HIGH ROLLS MTN ELEMENTARY,B,2013-2014,4
ALAMOGORDO ,HOLLOMAN ELEMENTARY,C,2013-2014,3
ALAMOGORDO ,HOLLOMAN MIDDLE,B,2013-2014,4
ALAMOGORDO ,LA LUZ ELEMENTARY,B,2013-2014,4
ALAMOGORDO ,MOUNTAIN VIEW MIDDLE,C,2013-2014,3
ALAMOGORDO ,NORTH ELEMENTARY,C,2013-2014,3
ALAMOGORDO ,OREGON ELEMENTARY,C,2013-2014,3
ALAMOGORDO ,SACRAMENTO ELEMENTARY,D,2013-2014,2
ALAMOGORDO ,SIERRA ELEMENTARY,C,2013-2014,3
ALAMOGORDO ,YUCCA ELEMENTARY,B,2013-2014,4
ALAMOGORDO ,ACADEMY DEL SOL ALT.,F,2014-2015,1
ALAMOGORDO ,ALAMOGORDO HIGH,D,2014-2015,2
ALAMOGORDO ,BUENA VISTA ELEMENTARY,B,2014-2015,4
ALAMOGORDO ,CHAPARRAL MIDDLE,C,2014-2015,3
ALAMOGORDO ,HEIGHTS ELEMENTARY,C,2014-2015,3
ALAMOGORDO ,HIGH ROLLS MTN ELEMENTARY,A,2014-2015,5
ALAMOGORDO ,HOLLOMAN ELEMENTARY,A,2014-2015,5
ALAMOGORDO ,HOLLOMAN MIDDLE,A,2014-2015,5
ALAMOGORDO ,LA LUZ ELEMENTARY,C,2014-2015,3
ALAMOGORDO ,MOUNTAIN VIEW MIDDLE,B,2014-2015,4
ALAMOGORDO ,NORTH ELEMENTARY,C,2014-2015,3
ALAMOGORDO ,OREGON ELEMENTARY,C,2014-2015,3
ALAMOGORDO ,SACRAMENTO ELEMENTARY,C,2014-2015,3
ALAMOGORDO ,SIERRA ELEMENTARY,B,2014-2015,4
ALAMOGORDO ,YUCCA ELEMENTARY,B,2014-2015,4
ALAMOGORDO ,ACADEMY DEL SOL ALT.,D,2015-2016,2
ALAMOGORDO ,ALAMOGORDO HIGH,C,2015-2016,3
ALAMOGORDO ,BUENA VISTA ELEMENTARY,B,2015-2016,4
ALAMOGORDO ,CHAPARRAL MIDDLE,B,2015-2016,4
ALAMOGORDO ,DESERT STAR ELEMENTARY,C,2015-2016,3
ALAMOGORDO ,HEIGHTS ELEMENTARY,B,2015-2016,4
ALAMOGORDO ,HIGH ROLLS MOUNTAIN PARK ELEMENTARY,B,2015-2016,4
ALAMOGORDO ,HOLLOMAN ELEMENTARY,B,2015-2016,4
ALAMOGORDO ,HOLLOMAN MIDDLE,A,2015-2016,5
ALAMOGORDO ,LA LUZ ELEMENTARY,C,2015-2016,3
ALAMOGORDO ,MOUNTAIN VIEW MIDDLE,C,2015-2016,3
ALAMOGORDO ,NORTH ELEMENTARY,B,2015-2016,4
ALAMOGORDO ,OREGON ELEMENTARY,D,2015-2016,2
ALAMOGORDO ,SIERRA ELEMENTARY,C,2015-2016,3
ALAMOGORDO ,YUCCA ELEMENTARY,B,2015-2016,4
ALBUQUERQUE,A. MONTOYA ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,ABQ CHARTER ACADEMY,D,2016-2017,2
ALBUQUERQUE,ADOBE ACRES ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ALAMEDA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,ALAMOSA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,ALBUQUERQUE HIGH,D,2016-2017,2
ALBUQUERQUE,ALICE KING COMMUNITY SCHOOL,B,2016-2017,4
ALBUQUERQUE,ALVARADO ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,APACHE ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ARMIJO ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ARROYO DEL OSO ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,ATRISCO ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ATRISCO HERITAGE ACADEMY HS,C,2016-2017,3
ALBUQUERQUE,BANDELIER ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,BARCELONA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,BEL-AIR ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,BELLEHAVEN ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,CARLOS REY ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,CHAMIZA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,CHAPARRAL ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,CHELWOOD ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,CHRISTINE DUNCANS HERITAGE ACADEMY,D,2016-2017,2
ALBUQUERQUE,CIBOLA HIGH,B,2016-2017,4
ALBUQUERQUE,CLEVELAND MIDDLE,B,2016-2017,4
ALBUQUERQUE,COCHITI ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,COLLEGE AND CAREER HIGH SCHOOL,A,2016-2017,5
ALBUQUERQUE,COLLET PARK ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,COMANCHE ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,CORONADO ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,CORRALES ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,CORRALES INTERNATIONAL,B,2016-2017,4
ALBUQUERQUE,DEL NORTE HIGH,C,2016-2017,3
ALBUQUERQUE,DENNIS CHAVEZ ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,DESERT RIDGE MIDDLE,B,2016-2017,4
ALBUQUERQUE,DIGITAL ARTS AND TECHNOLOGY,A,2016-2017,5
ALBUQUERQUE,DOLORES GONZALES ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,DOUBLE EAGLE ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,DOUGLAS MACARTHUR ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,DURANES ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,EARLY COLLEGE ACADEMY,A,2016-2017,5
ALBUQUERQUE,EAST MOUNTAIN HIGH SCHOOL,A,2016-2017,5
ALBUQUERQUE,EAST SAN JOSE ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,ECADEMY VIRTUAL HIGH SCHOOL,F,2016-2017,1
ALBUQUERQUE,EDMUND G ROSS ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,EDWARD GONZALES ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,EISENHOWER MIDDLE,B,2016-2017,4
ALBUQUERQUE,EL CAMINO REAL ACADEMY,C,2016-2017,3
ALBUQUERQUE,ELDORADO HIGH,B,2016-2017,4
ALBUQUERQUE,EMERSON ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ERNIE PYLE MIDDLE,F,2016-2017,1
ALBUQUERQUE,EUGENE FIELD ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,FREEDOM HIGH,B,2016-2017,4
ALBUQUERQUE,GARFIELD MIDDLE,D,2016-2017,2
ALBUQUERQUE,GEORGE I SANCHEZ,F,2016-2017,1
ALBUQUERQUE,GEORGIA O'KEEFFE ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,GORDON BERNELL CHARTER,C,2016-2017,3
ALBUQUERQUE,GOV BENT ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,GRANT MIDDLE,C,2016-2017,3
ALBUQUERQUE,GRIEGOS ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,HARRISON MIDDLE,F,2016-2017,1
ALBUQUERQUE,HAWTHORNE ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,HAYES MIDDLE,F,2016-2017,1
ALBUQUERQUE,HELEN CORDERO PRIMARY,A,2016-2017,5
ALBUQUERQUE,HIGHLAND HIGH,F,2016-2017,1
ALBUQUERQUE,HODGIN ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,HOOVER MIDDLE,C,2016-2017,3
ALBUQUERQUE,HUBERT H HUMPHREY ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,INEZ ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,JACKSON MIDDLE,C,2016-2017,3
ALBUQUERQUE,JAMES MONROE MIDDLE,C,2016-2017,3
ALBUQUERQUE,JANET KAHN FINE ARTS ACADEMY,F,2016-2017,1
ALBUQUERQUE,JEFFERSON MIDDLE,F,2016-2017,1
ALBUQUERQUE,JIMMY CARTER MIDDLE,F,2016-2017,1
ALBUQUERQUE,JOHN ADAMS MIDDLE,F,2016-2017,1
ALBUQUERQUE,JOHN BAKER ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,KENNEDY MIDDLE,F,2016-2017,1
ALBUQUERQUE,KIRTLAND ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,KIT CARSON ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,L.B. JOHNSON MIDDLE,C,2016-2017,3
ALBUQUERQUE,LA ACADEMIA DE ESPERANZA,F,2016-2017,1
ALBUQUERQUE,LA CUEVA HIGH,A,2016-2017,5
ALBUQUERQUE,LA LUZ ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LA MESA ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LAVALAND ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LEW WALLACE ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LONGFELLOW ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,LOS PADILLAS ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LOS PUENTES CHARTER,D,2016-2017,2
ALBUQUERQUE,LOS RANCHOS ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,LOWELL ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,MADISON MIDDLE,F,2016-2017,1
ALBUQUERQUE,MANZANO HIGH,C,2016-2017,3
ALBUQUERQUE,MANZANO MESA ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,MARIE M HUGHES ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,MARK TWAIN ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,MARYANN BINFORD ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,MATHESON PARK ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,MC COLLUM ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,MC KINLEY MIDDLE,F,2016-2017,1
ALBUQUERQUE,MISSION AVENUE ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,MITCHELL ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,MONTE VISTA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,MONTESSORI OF THE RIO GRANDE,C,2016-2017,3
ALBUQUERQUE,MONTEZUMA ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,MOUNTAIN MAHOGANY COMMUNITY SCHOOL,F,2016-2017,1
ALBUQUERQUE,MOUNTAIN VIEW ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,NATIVE AMERICAN COMM ACADEMY,C,2016-2017,3
ALBUQUERQUE,NAVAJO ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,NEW FUTURES SCHOOL,D,2016-2017,2
ALBUQUERQUE,NEW MEXICO INTERNATIONAL SCHOOL,C,2016-2017,3
ALBUQUERQUE,NEX GEN ACADEMY,B,2016-2017,4
ALBUQUERQUE,NORTH STAR ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,NUESTROS VALORES CHARTER,D,2016-2017,2
ALBUQUERQUE,ONATE ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,OSUNA ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,PAINTED SKY ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,PAJARITO ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,PETROGLYPH ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,POLK MIDDLE,F,2016-2017,1
ALBUQUERQUE,PUBLIC ACADEMY FOR PERFORMING ARTS,B,2016-2017,4
ALBUQUERQUE,REGINALD CHAVEZ ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,RIO GRANDE HIGH,C,2016-2017,3
ALBUQUERQUE,ROBERT F. KENNEDY CHARTER,D,2016-2017,2
ALBUQUERQUE,ROOSEVELT MIDDLE,A,2016-2017,5
ALBUQUERQUE,RUDOLFO ANAYA ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,S. Y. JACKSON ELEMENTARY,A,2016-2017,5
ALBUQUERQUE,SAN ANTONITO ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,SANDIA BASE ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,SANDIA HIGH,A,2016-2017,5
ALBUQUERQUE,SCHOOL ON WHEELS,D,2016-2017,2
ALBUQUERQUE,SEVEN-BAR ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,SIEMBRA LEADERSHIP HIGH SCHOOL,F,2016-2017,1
ALBUQUERQUE,SIERRA VISTA ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,SOMBRA DEL MONTE ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,SOUTH VALLEY ACADEMY,D,2016-2017,2
ALBUQUERQUE,SUNSET VIEW ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,SUSIE R. MARMON ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,TAFT MIDDLE,F,2016-2017,1
ALBUQUERQUE,TAYLOR MIDDLE,D,2016-2017,2
ALBUQUERQUE,THE ALB TALENT DEVELOPMENT CHARTER,D,2016-2017,2
ALBUQUERQUE,THE FAMILY SCHOOL,A,2016-2017,5
ALBUQUERQUE,TIERRA ANTIGUA ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,TOMASITA ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,TONY HILLERMAN MIDDLE SCHOOL,C,2016-2017,3
ALBUQUERQUE,TRUMAN MIDDLE,D,2016-2017,2
ALBUQUERQUE,TWENTY-FIRST CENTURY,B,2016-2017,4
ALBUQUERQUE,VALLE VISTA ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,VALLEY HIGH,D,2016-2017,2
ALBUQUERQUE,VAN BUREN MIDDLE,F,2016-2017,1
ALBUQUERQUE,VENTANA RANCH ELEMENTARY,B,2016-2017,4
ALBUQUERQUE,VOLCANO VISTA HIGH,B,2016-2017,4
ALBUQUERQUE,WASHINGTON MIDDLE,F,2016-2017,1
ALBUQUERQUE,WEST MESA HIGH,C,2016-2017,3
ALBUQUERQUE,WHERRY ELEMENTARY,D,2016-2017,2
ALBUQUERQUE,WHITTIER ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,WILSON MIDDLE,F,2016-2017,1
ALBUQUERQUE,ZIA ELEMENTARY,F,2016-2017,1
ALBUQUERQUE,ZUNI ELEMENTARY,C,2016-2017,3
ALBUQUERQUE,A. MONTOYA ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,ABQ CHARTER ACADEMY,C,2017-2018,3
ALBUQUERQUE,ADOBE ACRES ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ALAMEDA ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ALAMOSA ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ALBUQUERQUE HIGH,C,2017-2018,3
ALBUQUERQUE,ALICE KING COMMUNITY SCHOOL,C,2017-2018,3
ALBUQUERQUE,ALVARADO ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,APACHE ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,ARMIJO ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ARROYO DEL OSO ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,ATRISCO ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,ATRISCO HERITAGE ACADEMY HS,C,2017-2018,3
ALBUQUERQUE,BANDELIER ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,BARCELONA ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,BEL-AIR ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,BELLEHAVEN ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,CARLOS REY ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,CHAMIZA ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,CHAPARRAL ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,CHELWOOD ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,CHRISTINE DUNCAN HERITAGE ACADEMY,B,2017-2018,4
ALBUQUERQUE,CIBOLA HIGH,B,2017-2018,4
ALBUQUERQUE,CIEN AGUAS INTERNATIONAL,B,2017-2018,4
ALBUQUERQUE,CLEVELAND MIDDLE,B,2017-2018,4
ALBUQUERQUE,COCHITI ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,COLLEGE AND CAREER HIGH SCHOOL,A,2017-2018,5
ALBUQUERQUE,COLLET PARK ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,COMANCHE ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,CORONADO ELEMENTARY,A,2017-2018,5
ALBUQUERQUE,CORRALES ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,CORRALES INTERNATIONAL,A,2017-2018,5
ALBUQUERQUE,COYOTE WILLOW,A,2017-2018,5
ALBUQUERQUE,DEL NORTE HIGH,D,2017-2018,2
ALBUQUERQUE,DENNIS CHAVEZ ELEMENTARY,A,2017-2018,5
ALBUQUERQUE,DESERT RIDGE MIDDLE,A,2017-2018,5
ALBUQUERQUE,DESERT WILLOW FAMILY SCHOOL,A,2017-2018,5
ALBUQUERQUE,DIGITAL ARTS AND TECHNOLOGY,A,2017-2018,5
ALBUQUERQUE,DOLORES GONZALES ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,DOUBLE EAGLE ELEMENTARY,A,2017-2018,5
ALBUQUERQUE,DOUGLAS MACARTHUR ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,DURANES ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,EARLY COLLEGE ACADEMY,A,2017-2018,5
ALBUQUERQUE,EAST MOUNTAIN HIGH SCHOOL,A,2017-2018,5
ALBUQUERQUE,EAST SAN JOSE ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ECADEMY VIRTUAL HIGH SCHOOL,F,2017-2018,1
ALBUQUERQUE,EDMUND G ROSS ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,EDWARD GONZALES ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,EISENHOWER MIDDLE,A,2017-2018,5
ALBUQUERQUE,EL CAMINO REAL ACADEMY,C,2017-2018,3
ALBUQUERQUE,ELDORADO HIGH,B,2017-2018,4
ALBUQUERQUE,EMERSON ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,ERNIE PYLE MIDDLE,F,2017-2018,1
ALBUQUERQUE,EUGENE FIELD ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,FREEDOM HIGH,B,2017-2018,4
ALBUQUERQUE,GARFIELD MIDDLE,F,2017-2018,1
ALBUQUERQUE,GEORGE I SANCHEZ,F,2017-2018,1
ALBUQUERQUE,GEORGIA O'KEEFFE ELEMENTARY,A,2017-2018,5
ALBUQUERQUE,GORDON BERNELL CHARTER,C,2017-2018,3
ALBUQUERQUE,GOV BENT ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,GRANT MIDDLE,C,2017-2018,3
ALBUQUERQUE,GRIEGOS ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,HARRISON MIDDLE,C,2017-2018,3
ALBUQUERQUE,HAWTHORNE ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,HAYES MIDDLE,D,2017-2018,2
ALBUQUERQUE,HELEN CORDERO PRIMARY,D,2017-2018,2
ALBUQUERQUE,HIGHLAND HIGH,F,2017-2018,1
ALBUQUERQUE,HODGIN ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,HOOVER MIDDLE,B,2017-2018,4
ALBUQUERQUE,HUBERT H HUMPHREY ELEMENTARY,A,2017-2018,5
ALBUQUERQUE,INEZ ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,INTERNATIONAL SCHOOL AT MESA DEL SOL,F,2017-2018,1
ALBUQUERQUE,JACKSON MIDDLE,C,2017-2018,3
ALBUQUERQUE,JAMES MONROE MIDDLE,D,2017-2018,2
ALBUQUERQUE,JANET KAHN FINE ARTS ACADEMY,F,2017-2018,1
ALBUQUERQUE,JEFFERSON MIDDLE,D,2017-2018,2
ALBUQUERQUE,JIMMY CARTER MIDDLE,F,2017-2018,1
ALBUQUERQUE,JOHN ADAMS MIDDLE,F,2017-2018,1
ALBUQUERQUE,JOHN BAKER ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,KENNEDY MIDDLE,F,2017-2018,1
ALBUQUERQUE,KIRTLAND ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,KIT CARSON ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,L.B. JOHNSON MIDDLE,C,2017-2018,3
ALBUQUERQUE,LA ACADEMIA DE ESPERANZA,F,2017-2018,1
ALBUQUERQUE,LA CUEVA HIGH,A,2017-2018,5
ALBUQUERQUE,LA LUZ ELEMENTARY,F,2017-2018,1
ALBUQUERQUE,LA MESA ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,LA RESOLANA LEADERSHIP,C,2017-2018,3
ALBUQUERQUE,LAVALAND ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,LEW WALLACE ELEMENTARY,D,2017-2018,2
ALBUQUERQUE,LONGFELLOW ELEMENTARY,B,2017-2018,4
ALBUQUERQUE,LOS PADILLAS ELEMENTARY,C,2017-2018,3
ALBUQUERQUE,LOS PUENTES CHARTER,D,2017-2018,2
ALBUQUERQUE,LOS RANCHOS ELEMENTARY,D,2017-2018,2
